,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Traditional Chinese (CHT),Simplified Chinese (CHN),Indonesian(IND),Polish (PL),Hungary(HUN),Thai(TH),Norwegian (NO),Danish (DK),Roumanian (RO),Pirate English,Hebrew (IL),Swedish (SWE),Greek (GR),Việt Nam (VN),Turkish / Türkçe (TR),Arabic (AR),Portugal Portuguese (PT),Suomi (FIN),Bulgarian (BG),Lithuanian (LT)
ASS_LOOP2_GREETING,The Ducan Elite are hunting us? This is bad. This is REAL bad.,Os Ducan Elite estão nos caçando? Isso é mau. MUITO mau.,Os Ducan Elite estão nos caçando? Isso é mau. MUITO mau.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,Die Ducan Elite jagt uns? Das ist schlecht. Das ist ECHT schlecht.,"L'Elite Duncan nous chasse? C'est mauvais. TRES mauvais!
",¿La élite Ducan nos está cazando? Esto es malo. Esto es MUY malo.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,TheDucanElitearehuntingus?Thisisbad.ThisisREALbad.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,Ducan精英兵在追捕我们？糟了糟了，大事不好了。,The Ducan Elite are hunting us? This is bad. This is REAL bad.,"Elita Dukanów na nas poluje? To źle. To NAPRAWDĘ źle,",The Ducan Elite are hunting us? This is bad. This is REAL bad.,เหล่า Ducan ระดับหัวกะทิ กำลังตามล่าเรางั้นรึ แย่แน่ นี่แย่แน่ๆ!,The Ducan Elite are hunting us? This is bad. This is REAL bad.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,Οι Ελίτ Πάπιοι μας κυνηγάνε; Αυτό είναι κακό. Αυτό είναι ΠΟΛΥ κακό.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,The Ducan Elite are hunting us? This is bad. This is REAL bad.,,
ASS_LOOP2_1,"These Ducan Elite thugs aren't so tough now, are they?","Esses Ducan Elite não são tão durões agora, hein?","Esses Ducan Elite não são tão durões agora, hein?","These Ducan Elite thugs aren't so tough now, are they?","These Ducan Elite thugs aren't so tough now, are they?","Die Ducan Elite typen sind nicht so zäh, oder?","Cette Elite de voyous de Duncan n'est pas si dure maintenant, hein?
","Estos matones de la élite Ducan no son tan duros como parecian, ¿no?","These Ducan Elite thugs aren't so tough now, are they?","TheseDucanElitethugsaren'tsotoughnow,arethey?","These Ducan Elite thugs aren't so tough now, are they?","These Ducan Elite thugs aren't so tough now, are they?","These Ducan Elite thugs aren't so tough now, are they?","These Ducan Elite thugs aren't so tough now, are they?","These Ducan Elite thugs aren't so tough now, are they?","Te elitarne dukanskie zbóje nie są już takie twarde, co nie? ","These Ducan Elite thugs aren't so tough now, are they?",เหล่า Ducan หัวกะทิอันธพาลพวกนี้เนี่ย ไม่ถึกเหมือนก่อนแล้ว รึไงกัน?,"These Ducan Elite thugs aren't so tough now, are they?","These Ducan Elite thugs aren't so tough now, are they?","These Ducan Elite thugs aren't so tough now, are they?","These Ducan Elite thugs aren't so tough now, are they?","These Ducan Elite thugs aren't so tough now, are they?","These Ducan Elite thugs aren't so tough now, are they?","Αυτοί οι Ελίτ Πάπιοι δεν είναι και τόσο σκληροί τώρα, ε;","These Ducan Elite thugs aren't so tough now, are they?","These Ducan Elite thugs aren't so tough now, are they?","These Ducan Elite thugs aren't so tough now, are they?","These Ducan Elite thugs aren't so tough now, are they?","These Ducan Elite thugs aren't so tough now, are they?",,
ASS_LOOP2_2,Are you still hanging in there?,Você ainda está aguentando a barra?,Você ainda está aguentando a barra?,Are you still hanging in there?,Are you still hanging in there?,Bist du noch bei uns?,"Toujours là?
",¿Todavia estas ahí?,Are you still hanging in there?,Areyoustillhanginginthere?,Gaat het nog een beetje?,Are you still hanging in there?,Are you still hanging in there?,Are you still hanging in there?,Are you still hanging in there?,Wciąż sobie tam radzisz?,Are you still hanging in there?,"ในนั้น เธอยังอยู่ดีอยู่ใช่ไหม?
",Are you still hanging in there?,Are you still hanging in there?,Are you still hanging in there?,Are you still hanging in there?,Are you still hanging in there?,Are you still hanging in there?,Στέκεις ακόμη όρθιος εκεί;,Are you still hanging in there?,Are you still hanging in there?,Are you still hanging in there?,Ainda tas ai?,Are you still hanging in there?,,
ASS_LOOP2_3,Sae's working on a way out of this endless time loop. Just keep dying!,Sae está trabalhando num jeito de acabar com esse ciclo temporal infinito. Continue morrendo!,Sae está trabalhando num jeito de acabar com esse ciclo temporal infinito. Continue morrendo!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae arbeitet an einem Weg aus der Zeitschleife. Sterbe einfach weiter!,"Sae travaille sur un moyen  de sortir de cette boucle temporelle infinie. Continuons de mourir!
",Sae todavía esta trabajando en una forma de poder salir de este bucle temporal interminable. ¡Tu simplemente sigue muriendo!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae'sworkingonawayoutofthisendlesstimeloop.Justkeepdying!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae pracuje nad ucieczką z tej nieszkonczonej pętli czasowej. Po prostu giń dalej!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae กำลังทำหน้าที่หาทางช่วยเธอออกจากกาลเวลาไร้ที่สิ้นสุดนี้อยู่. แค่ตายไปเรื่อยๆก็พอ!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae's working on a way out of this endless time loop. Just keep dying!,Ο Σάε δουλεύει να βρεί μια λύση να σππάσει αυτός ο ατελείωτος κύκλος χρόνου. Απλά συνέχισε να πεθαίνεις!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae's working on a way out of this endless time loop. Just keep dying!,Sae's working on a way out of this endless time loop. Just keep dying!,,
ASS_LOOP2_4,"Whoa, you're still alive? Lost my bet with Gunnar.","Eita, você ainda tá de pé? Perdi minha aposta com o Gunnar.","Eita, você ainda tá de pé? Perdi minha aposta com o Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa, du lebst noch? Da habe ich wohl meine Wette mit Gunnar verloren.","Whaou! Tu es toujours vivant? Argh, j'ai perdu mon pari avec Gunnar...
","Guau, ¿Todavía estás vivo? Entonces perdí mi apuesta con Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa,you'restillalive?LostmybetwithGunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Wow, wciąż żyjesz? Przegrałem zakład z Gunnarem.","Whoa, you're still alive? Lost my bet with Gunnar.","โว้วว, เธอยังมีชีวิตอยู่อีกเรอะ? เสียพนันให้เจ้า Gunnar ซะงั้น.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Ουάου, είσαι ακόμη ζωτανός; Έχασα το στοίχημά μου με τον Γκάναρ.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.","Whoa, you're still alive? Lost my bet with Gunnar.",,
ASS_LOOP2_5,Keep those weapons upgraded or you might not see me in the next level.,Mantenha suas armas atualizadas ou você pode não me ver na próxima fase.,Mantenha suas armas atualizadas ou você pode não me ver na próxima fase.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,"Halte deine Waffen aktuell, du siehst mich möglicherweiße nicht jedes Level.",Garde ces armes au niveau ou tu pourrais ne pas me voir au niveau prochain.,Manten esas armas mejoradas o puede que no llegues a verme en el siguiente nivel.,Keep those weapons upgraded or you might not see me in the next level.,Keepthoseweaponsupgradedoryoumightnotseemeinthenextlevel.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Polepszaj dalej te bronie bo inaczej możesz nie zobaczyć mnie w następnym poziomie.,Keep those weapons upgraded or you might not see me in the next level.,ควรเพิ่มระดับอุปกรณ์ ไปเรื่อยๆ เพราะเธออาจไม่ได้เห็นฉันในระดับถัดๆไป.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Κράτα τα όπλα σου αναβαθμησμένα. Μπορεί να μη με δεις στην επόμενη πίστα.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,Keep those weapons upgraded or you might not see me in the next level.,,
ASS_LOOP2_6,"Be honest, you're relieved to see me now, aren't you?","Fala sério, você está feliz em me ver, né?","Fala sério, você está feliz em me ver, né?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Sei ehrlich, du bist foh mich zu sehen, nicht?","Sois honnête, tu es soulagé de me voir maintenant, n'est-ce pas?
","Se honesto conmigo, tu estás aliviado al verme ahora, ¿verdad?","Be honest, you're relieved to see me now, aren't you?","Behonest,you'rerelievedtoseemenow,aren'tyou?","Be honest, you're relieved to see me now, aren't you?","Dì la verità, sei contento di vedermi adesso, vero?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Bądź szczery, cieszysz się że mnie teraz widzisz, czyż nie?","Be honest, you're relieved to see me now, aren't you?",พูดมาตามจริง เธอรู้สึกโล่งใจที่เจอฉันใช่ไหมหละ?,"Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Να είσαι ειλικρινής, ανακουφίστηκες που με είδες τώρα ε;","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?","Be honest, you're relieved to see me now, aren't you?",,
ASS_LOOP2_7,It must be hard dealing with the Ducan Elite. Glad I'm not you.,Deve ser duro lidar com os Ducan Elites. Ainda bem que não sou você.,Deve ser duro lidar com os Ducan Elites. Ainda bem que não sou você.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,Es muss schwer sein die Ducan Elite zu bekämpfen. Bin ich froh das ich nicht du bin.,Ca doit être dur de faire affaire avec L'Elite Duncan. Heureusement que je ne suis pas à ta place!,Debe ser dificil tener que lidiar con la élite Ducan. Me alegro de no ser tú.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,ItmustbeharddealingwiththeDucanElite.GladI'mnotyou.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,要对付Ducan精英兵肯定很困难。幸好我不是你。,It must be hard dealing with the Ducan Elite. Glad I'm not you.,Musi być ciężko radzić sobie z Elitą Dukanów. Dobrze że nie jestem tobą.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,"มันคงยากน่าดูที่ต้องจัดการกับเจ้า Ducan หัวกระทิ, ดีที่ฉันไม่ใช่เธอ.",It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,Πρέπει να είναι δύσκολο να αντιμετωπίζεις τους Ελίτ Πάπιους. Χαίρομαι που δεν είμαι στη θέση σου.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,It must be hard dealing with the Ducan Elite. Glad I'm not you.,,
ASS_SPOOKY1,"Wow, we do visit the most interesting places, don't we?","Eita, nós realmente visitamos uns lugares... interessantes.",VISH MACUMBA BRABA AQUI HEIN KKK,,,"Wow, wir besuchen wirklich die interressantesten Orte, nicht?","Wow, nous visitons vraiment des lieux des plus intéressants, pas vrai?
","Guau, siempre estamos visitando lugares bastante... interesantes, ¿No?",,,,"Wow, visitiamo i posti più interessanti, no?",,,,"Łał, odwiedzamy najbardziej interesujące miejsca, czyż nie?",,"ว้าว, เรานี่ไปมันซะทุกๆที่ ที่น่าสนใจเลยใช่ไหมเนี่ย?",,,,,,,"Ουάου, επισκεπτόμαστε τα πιο ενδιαφέροντα μέρη, δε νομίζεις;",,,,,,,
ASS_SPOOKY2,"Happy Halloween, by the way. Are we still in October?","Feliz Dia das Bruxas, aliás. Nós ainda estamos em Outubro?",XÔ ENCOSTO HAEUAHEUA,,,"Fröhliche Halloween, nebenbei. Es ist immernoch Oktober oder?","Joyeux Halloween, au fait. On est toujours en octobre?",¡Feliz Noche de Brujas!.. Todavia estamos en Octubre?,,,,"A proposito, Felice Halloween! Siamo ancora ad Ottobre?",,嘿，万圣节快乐！等一下，现在还是不是十月？,,"Wesołego Halloween, tak przy okazji. Czy nadal jest Październik?",,"สุขสันวัน ฮาโลวีน, ว่าแต่ เรายังอยู่กันในเดือน ตุลาคม ใช่ไหม?",,,,,,,"Παρεπιπτόντως, καλό Χελογουίν. Είναι ακόμη Οκτώβριος;",,,,,,,
ASS_SPOOKY3,"Whew, I'm glad we're getting out of here.","Ufa, estou feliz que estamos indo embora deste lugar.",RELAX LIGUEI NO DISK DISPACHO E TA TUDO CERTO AGORA KKK,,,"Puuh, bin ich froh, das wir hier raus kommen.","Pfiou, j'avais hâte de partir d'ici.",¡Uf! Me alegro de que nos vamos de aquí.,,,,"Accidenti, sono contento che ce ne andremo da qui.",,呼，好在我们逃了出来。,,"Fiu, ciesze się, że się stąd wydostajemy. ",,"ฟิ้วว, ดีใจที่ได้ออกจากที่นี่ซักที.",,,,,,,"Ουφ, χαίρομαι που φύγαμε από εδώ.",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELIC_PINEAPPLE_NAME,The Pineapple Pudding,O Pudim de Abacaxi,Gelatina Bocão,Ананасовый пудинг,パイナップルプリン,Der Ananaspudding,Le Pudding d'Ananas,El Pudín de Ananá,Ananasový puding,파인애플푸딩,De Ananaspudding,Lo Stufato di Mele,,菠萝布丁,Puding nenas,Ananasowy Pudding,Az Ananász Puding,The Pineapple Pudding,Ananas puddingen,,,The Pineapple Puddin',פודינג האננס,,Η Πουτίνγκα Ανανά,Bánh Thơm Pudding,Ananaslı Pudding,مهلبية بالأناناس,O Pudim De Ananás,Ananasvanukas,,Ananasinis Pudingas
RELIC_PINEAPPLE_LONG,+ Maximum Health,+ Vida Máxima,'+ Sangue Massimo,+ Максимальное Здоровье,+ さいだい たいりょく,+ Maximal-LP,+ Vie maximun,+ Vida máxima,Maximální zdraví'+,+최대체력,+ Maximale Gezondheid,+ Vita Massima,加最大血量,+ 最大血量, + Kesihatan Maksimum,+Maksymalne zdrowie,Plusz Életerő,+ เพิ่มขีดจำกัดของพลังชีวิต,+ Ekstra liv,,,Very Vigorous Treat,+ יותר חיים,,+ Μέγιστη Υγεία,Tăng giới hạn Sinh Lực,+Maksimum Can,+ صحة كاملة,+Vida Máxima,+ Maksimiterveys,,+ Daugiausia Gyvybių
RELIC_PINEAPPLE_SHORT,Extra Health,Vida Extra,Sangue Estra,Дополнительное Здоровье,たいりょく きょうか,Extra LP,Vie Extra,Vida extra,Extra zdraví,추가체력,Extra Gezondheid,Vita Extra,額外血量,额外血量,Lebih Kesihatan,Dodatkowe życie,Extra Életerő,พลังชีวิตพิเศษ,Ekstra liv,,,Extra Vigor,יותר חיים,,Επιπλέον υγεία,Tăng Sinh Lực,Ekstra Can,صحة إضافية,Vida Extra,Ekstraterveyttä,,Papildomos Gyvybės
RELIC_ALCOHOLIC_NAME,The Alcoholic Carrot,A Cenoura Alcóolica,Sukita Com Balalaika,Запойная Морковка,アルコールキャロット,Die alkoholische Möhre,La Carotte Alcoolique,La Zanahoria Alcohólica,Alkoholická mrkev,술에담근당근,De Alcoholische Wortel,La Carota Alcolica,,酒精胡萝卜,,Marchwio-wódka,Az Alkoholista Répa,The Alcoholic Carrot,Alkoholisert gulerot,,,The Rum,הגזר האלכוהוליסט,,Το Αλκοολικό Καρότο,Củ cà rốt thấm rượu,Alkollü Havuç,شراب الجزر,A Cenoura Alcoólica,Alkoholistiporkkana,,Alkocholinė Morka.
RELIC_ALCOHOLIC_LONG,+ Stamina Regeneration,+ Regeneração de Stamina,'+ Recupera o fôlego,+ Регенерация Выносливости,+ スタミナ かいふくそくど,+ Ausdauerregeneration,+ Régération de l'Endurance,+ Regeneración de Energía,Regenerace výdrže '+,+지구력회복속도,+ Stamina Regeneratie,+ Rigenerazione Stamina,,+ 耐力恢复,,+Regeneracja wytrzymałości,,+ เพิ่มความเร็วในการฟื้นฟูจากความเหนื่อยล้า,+ Stamina regenerasjon,,,Helps Exhaustion Recovery,חידוש סיבולת '+,,+ Αναζωογόνηση Αντοχής,Tăng tốc độ phục hồi Thể Lực,+Nefes Seviyesi Yenilenme,+ إستعادة التحمل,+ Regenerção de Stamina,+ Kestävyyden palautuminen,,+ Ištvermės
RELIC_ALCOHOLIC_SHORT,+Stamina Regen,+ Regen de Stamina,'+ Recupera o fôlego,+Реген Выносливости,+スタミナ さいせい,+ Ausdauerregen.,+ Endurance regen.,+ Regen. de Energía,Regen výdrže '+,+지구력회복,+ Stamina Regen.,+Rigen. Stamina,,+ 耐力恢复,,+Regen. wytrzymałości,,+ฟื้นฟูความอึด เร็วขึ้น,+ Stamina,,,Recover Faster,חידוש סיבולת '+,,+ Αναζωογόνηση Αντοχής,Phục hồi Thể Lực,+ Nefes Seviyesi Dolumu,+ إستعادة التحمل,+ Regen de Stamina,,,+ Skydo atstatymas
RELIC_CRYSTAL_NAME,The Crystal Bacon,O Bacon de Cristal,Presuntinho de Vidro,Хрустальный Бекон,クリスタルベーコン,Der Kristallspeck,Le Bacon de Cristal,El Tocino de Cristal,Krystalová slanina,수정베이컨,De Kristallen Bacon,La Pancetta di Cristallo,,水晶培根,,Kryształowy Bekon,,The Crystal Bacon,Krystall bacon,,,The Shiny Porkchop,בייקון הקריסטל,,Το Κρυστάλλινο Μπέϊκον,Thịt xông khói,Kristal Domuz Pastırması,اللحم البلوري,O Bacon De Cristal,Kristallipekoni,,Krištolė kiauliena
RELIC_CRYSTAL_LONG,Gain Health when you kill an enemy,Ganhe Vida Ao Matar um Inimigo,Cura quando mata os bichim,"Получить здоровье, когда вы убиваете врага",あなたが敵を倒したときにヘルスを得ます,"Erhalte Gesundheit, wenn du einen Feind tötest",Gagnez de la santé quand vous tuez un ennemi,Obten vida cuando matas a un enemigo,"Regenerace zdravíZisk zdraví, když zabijete nepřítele",GainHealthWhenYouKillAnEnemy,Gain Health When You Kill An Enemy,Guadagni vita quando uccidi un nemico,Gain Health When You Kill An Enemy,杀死敌人时获得健康,Gain Health When You Kill An Enemy,"Zdobądź zdrowie, gdy zabijesz wroga",Gain Health When You Kill An Enemy,ได้รับสุขภาพเมื่อคุณฆ่าศัตรู,Gain Health When You Kill An Enemy,Gain Health When You Kill An Enemy,Gain Health When You Kill An Enemy,Gain Health When You Kill An Enemy,Gain Health When You Kill An Enemy,Gain Health When You Kill An Enemy,Κερδίστε την υγεία όταν σκοτώνετε έναν εχθρό,Gain Health When You Kill An Enemy,Gain Health When You Kill An Enemy,كسب الصحة عند قتل العدو,Gain Health When You Kill An Enemy,"Hanki terveyttä, kun tapat vihollisen",,"Gauti sveikatos, kai nužudote priešą"
RELIC_CRYSTAL_SHORT,Health regen,Regenera vida,Cura as vida,Восстановление здоровья,たいりょくを じどうかいふく,Gesundheitsregeneration,Régénération de vie,Regeneración de vida,"Regenerace zdravíZisk zdraví, když zabijete nepřítele",Healthregen,Health regen,"Rigen. Vita
",Health regen,血量恢复,Health regen,Regenerazja życia,Health regen,ได้รับพลังชีวิตเมื่อผ่านด่าน,Health regen,Health regen,Health regen,Health regen,Health regen,Health regen,Αναζωογόνηση Υγείας,Health regen,Health regen,إستعادة الصحة,Health regen,Terveyden palautuminen,,Sveikatos atkurimas
RELIC_INFINITY_NAME,The Infinity Battery,A Bateria Infinita,Pilha Duracel,Бесконечная батарейка,むげんの バッテリー,Die endlose Batterie,La Batterie d'Infinité,La Batería Infinita,Pozoruhodná baterie,무한대배터리,De Oneindige Batterij,La Batteria Infinita,,无限电池,,Nieskończona bateria,,The Infinity Battery,Uendelighets batteriet,,,The Infinite Power,הבטרייה האינסופית,,Η Μπαταρία του Απείρου,Cục Pin Vô Tận,Sonsuzluk Bataryası,بطارية لا تنتهي,A Bateria Infinita,Loputon patteri,,Nesibaigianti baterija
RELIC_INFINITY_LONG,+ Shield Regeneration,+ Regeneração de Escudo,'+ Recupera os escudinho,+ Регенерация Щита,+ シールド かいふくそくど,+ Schildregeneration,+ Régénération du Bouclier ,+ Regeneración de escudo,Regenerace štítu '+,+실드회복속도,+ Schild Regeneratie,+ Rigenerazione Scudo,,+ 护盾回复,,+ Regenerowanie tarczy,,+ ฟื้นฟูเกราะที่เสียหายเร็วขึ้น,+ Skjold regenerasjon,,,Recover From Dodging Faster,חידוש מגן '+,,+ Αναζωογόνηση Ασπίδας,Tăng tốc độ hồi Giáp,+ Zırh Yenileme,+ يستعيد الدرع,+ Regeneração do Escudo,+ Suojan palautuminen,,+ Skydo atstatymas
RELIC_INFINITY_SHORT,+Shield Regen,+Regen de Escudo,'+ Recupera os escudinho,+Реген Щита,+シールド さいせい,+ Schildregen,+ Bouclier regen.,+ Regen. de escudo,Regen štítu '+,+실드회복,+ Schild Regen.,+Rigen. Scudo,,+护盾恢复,,+Regeneracja tarczy,+ Pajzs Regeneráció,+เพิ่มความเร็วการฟื้นฟูเกราะ,+ Skjold,,,Faster Dodge Regen,חידוש מגן '+,,+ Αναζωογόνηση Ασπίδας,Hồi Giáp,+ Zırh Doldurma,+ إستعادة الدرع,+ Regen do Escudo,,,+ Skydo atstatymas
RELIC_MIDNIGHT_NAME,The Midnight Beer,A Cerveja da Meia-Noite,Gato Preto Maloquero,Полуночное пиво,まよなかの ビール,Das Mitternachtsbier,La Bière de Minuit,La Cerveza de Medianoche,Půlnoční pivo,한밤의맥주,Het Nachtelijke Biertje,La Birra di Mezzanotte,,午夜啤酒,,Piwo o Północy,,The Midnight Beer,Midnatts bjørnen,,,The Midnight Rum,בירת החצות,,Η Μεσονύχτια Μπύρα,Bia để qua đêm,Akşam Birası,المشروب الليلي,A Cerveja Da Meia-Noite,Keskiyön kalja,,Vidurnakčio alus
RELIC_MIDNIGHT_LONG,Extra Damage,Dano Extra,Porrada extra,Дополнительный Урон,ついか ダメージ,Extra Schaden,Dégats Extra,Daño extra,Extra poškození,추가피해,Extra Schade,Danno Extra,,额外伤害,,Dodatkowe obrażenia,Extra Sebzés,เพิ่มความแรงของการสร้างความเสียหาย,Ekstra skade,,,More Ouch,יותר נזק,,Επιπλέον Ζημιά,Tăng Sát Thương,Ekstra Hasar,ضرر إضافي,Dano Extra,Lisävahinkoa,,Papildoma Žala
RELIC_MIDNIGHT_SHORT,Extra Damage,Dano Extra,Porrada extra,Дополнительный Урон,ついか ダメージ,Extra Schaden,Dégats Extra,Daño extra,Extra poškození,추가피해,Extra Schade,Danno Extra,,额外伤害,,Dodatkowe obrażenia,Extra Sebzés,โจมตีแรงขึ้น,Ekstra skade,,,More Ouch,יותר נזק,,Επιπλέον Ζημιά,Tăng sát thương,Ekstra Hasar,ضرر إضافي,Dano Extra,,,Papildoma Žala
RELIC_WATCHFUL_NAME,The Watchful Eye,O Olho Que Tudo Vê,Zoião Cabuloso,Всевидящее око,かんさつがん,Das wachsame Auge,L'Oeil Vigilant,El Ojo Vigilante,Vševidoucí oko,관찰의눈,Het Uitkijkende Oog,L'Occhio Vigile,,警醒之眼,,Czujne Oko,,The Watchful Eye,Det vake øyet,,,The All-Seeing-Eye,העין הצופה,,Το Άγρυπνο Μάτι,Con Mắt lanh lẹ,Uyanık Göz,العين الساهرة,O Olho Que Vê Tudo,Tarkkaileva silmä,,Visą matanti akis
RELIC_WATCHFUL_LONG,Extra Ammo,Munição Extra,Mas bala,Дополнительные Патроны,よび だんやく,Extra Munition,Munition Extra,Munición extra,Extra munice,추가탄약,Extra Munitie,Munizioni Extra,,额外弹药,,Dodatkowa amunicja,Extra Llőszer,เพิ่มความจุกระสุน,Ekstra ammo,,,More Shots,יותר תחמושת,,Επιπλέον Πυρομαχικά,Tăng giới hạn Đạn,Ekstra Cephane,ذخيرة إضافية,Munição Extra,Lisäammuksia,,Papildomos kulkos
RELIC_WATCHFUL_SHORT,Extra Ammo,Munição Extra,Mas bala,Дополнительные Патроны,よび だんやく,Extra Munition,Munition Extra,Munición extra,Extra munice,추가탄약,Extra Munitie,Extra Muniz.,,额外弹药,,Dodatkowa amunicja,Extra Llőszer,เพิ่มความจุกระสุน,Ekstra ammo,,,More Shots,יותר תחמושת,,Επιπλέον Πυρομαχικά,Tăng Đạn,Ekstra Cephane,ذخيرة إضافية,Munição Extra,Lisäammuksia,,Papildomos kulkos
RELIC_DEV_NAME,The Dev Potion,A Poção da Programação,Café Pilão,Зелье разработчика,かいはつちゅうの ポーション,Der Developer-Trank,La Potion des Dev,La Poción del Desarrollador,Devův lektvar,개발자포션,Het Dev Drankje,La Pozione dello Sviluppatore,,恶魔之水,,Mikstura Programisty,,The Dev Potion,Utviklerens saft,,,The Dev Drink,שיקוי המפתח,,Το Φίλτρο του Κατασκευαστή,Thuốc quỷ,Yapımcı İksiri,شراب المبرمج,A Poção Da Programação,Pelisuunnittelijajuoma,,Programuotojo stebuklingas gėrimas
